Order ID,Customer Name,Gender,Product Details (Brand),Age,City,Address,Product Price (Taka),Delivery Charge(Taka),Total Bill (Taka),Phone Number,Customer Value
1,Fatima Aisha,Female,Faraz Manan,19,Chittagong,"B4; Lavinia, 30 mehedibag,Chittagong",9000,120,9120,018-225-41900,High
2,Nafisa Tasneem,Female,Khaadi,27,Sylhet,"Azadi111 mirboxtulla,Sylhet",5990,120,6110,019-518-69097,High
3,Parvin Sultana Popy,Female,Mushq,34,Gazipur,"Ershadnogor,Tongi,Gazipur",6890,120,7010,018-599-88102,Low
4,Mimi Jahan,Female,Sana Safinaz,42,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",10590,120,10710,017-505-79104,Low
5,Suchi Islam,Female,Maria B.,33,Kushtia,"Plot #6, Kumarkhali, Kushtia",7500,120,7620,013-834-21041,High
6,Bi Pa Sha,Female,Sana Safinaz,30,Kushtia,"Flat #2, Building #9, Daulatpur, Kushtia",10590,120,10710,019-222-40689,Low
7,Mowmita Nipu,Female,Mushq,25,Chittagong,"Masterpul boubazar, beside khaja hotel,suborna Abasik,Chittagong",6890,120,7010,019-271-21906,High
8,Shanjida Afrin Tisha,Female,Mushq,22,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",6890,120,7010,019-462-21503,Low
9,Sarah Nitu,Female,Sapphire,31,Rajshahi,"House #17, Road #12, Boalia, Rajshahi",7180,120,7300,016-111-30073,Low
10,Bonna Ferdous,Female,Faraz Manan,44,Dhaka,"Road 5A, Sector 5, House 14(Shamoli housing),Uttara",9000,70,9070,019-741-59097,Low
11,Meherun Nesa Kashpi,Female,Khaadi,22,Dhaka,"Beside jamal becery, Zinzira bazar, keranigong dhaka",5990,70,6060,018-956-75021,High
12,Arjumanara Sharkar,Female,Faraz Manan,43,Cox's Bazar,"Khalil fakir road,peshkar parar, cox's bazar sadar",9000,120,9120,013-817-46800,Low
13,Bonna Alam,Female,Amir Adnan,40,Dinajpur,"House #2, Lane #8, Dinajpur Sadar, Dinajpur",9550,120,9670,013-800-29076,High
14,Zeba Rahman,Female,Faraz Manan,22,Dhaka,"19/D, Uttara Bhaban, Uttar, Tolarbag,Mirpur - 1, Dhaka -1216",9000,70,9070,017-650-83064,High
15,Sawariya Samanna,Female,Khaadi,41,Dhaka,"Azimpur chapra,Mashjid anondho bhaban A2",5990,70,6060,016-500-58084,High
16,Atiya Hussain,Female,Sana Safinaz,22,Dhaka,"Basundhara, B block, road 8, Bari number 70",10590,70,10660,019-861-61096,Low
17,Safayet Hossain,Male,Sana Safinaz,38,Dhaka,"House 13 road 3/a ,sector 15,Uttara Dhaka 1230",10590,70,10660,013-973-42044,High
18,Faiza Afrin,Female,Mushq,37,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",6890,120,7010,018-771-20495,High
19,Md Walid,Male,Celina,25,Chittagong,"Mirjerpool , Panchlaish,Design Foyez Manor,Flat/A7, Chittagong",5599,120,5719,019-743-99071,Low
20,Moumita mou,Female,Celina,22,Bogura,"Apartment #6, Block #Q, Shibganj, Bogura",5599,120,5719,018-505-80024,Low
21,Md Mofakkharul Islam,Male,Ethnic,42,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",6500,70,6570,017-613-67081,Low
22,Meeftahul Mou,Female,Khaadi,46,Comilla,"Brac Cold Storage,New ferighat,Daudkandi,Comilla",5990,120,6110,015-386-40103,Low
23,Hamidi Mim,Female,Khaadi,42,Khulna,"House-43,(Flat-6B), Road-05,1st Phase,Shonadanga R/A, Khulna",5990,120,6110,016-120-76738,Low
24,Nur Nahar,Female,Khaadi,40,Dhaka,"DFL dream house-5,Road:10,Bhutta chattar,New Town,Matuail,Dhaka",5990,70,6060,017-425-57754,Low
25,Sumaira Rahman,Female,Khaadi,29,Dhaka,"60 fit pirerbag, amtola bazar,250 dofarce bilders, Dhaka",5990,70,6060,017-167-61274,Low
26,FA Tamanna,Female,Amir Adnan,32,Comilla,"518, Akhi vila,thakurpara baganbari, Comilla",9550,120,9670,013-866-27674,Low
27,Ondrila Das,Female,Sana Safinaz,22,Chittagong,"House #9, Lane #2, Panchlaish, Chittagong",10590,120,10710,019-652-72843,High
28,Nusrat Jahan Nisu,Female,Khaadi,43,Dhaka,"Rohomotpur,zinzira,keranigonj,dha ka",5990,70,6060,016-476-76782,High
29,Ayman Zarif,Male,Celina,22,Cox's Bazar,"House #3, Lane #7, Coxs Bazar Sadar, Coxs Bazar",5599,120,5719,013-633-21625,Low
30,Sanjida Bina,Female,Sana Safinaz,25,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",10590,70,10660,018-101-16595,Low
31,Sp Sultana,Female,Sana Safinaz,30,Dinajpur,"House #16, Road #6, Khansama, Dinajpur",10590,120,10710,013-222-77473,High
32,Zoha Zoha,Female,Sapphire,36,Mymensingh,"House #18, Road #9, Muktagacha, Mymensingh",7180,120,7300,017-183-86432,High
33,Fabiha Akter,Female,Ethnic,31,Chittagong,"Flat #8, Building #7, Agrabad, Chittagong",6500,120,6620,013-793-34530,Low
34,Puja Barua,Female,Sana Safinaz,29,Barisal,"Flat #5, Building #4, Muladi, Barisal",10590,120,10710,017-473-77941,Low
35,Nawreen Afreen Urmi,Female,Baroque,41,Chittagong,"Masterpul boubazar, beside khaja hotel, Suborna Abasik,Chittag ong",7560,120,7680,017-729-66472,High
36,Alika Ormim,Female,Sana Safinaz,43,Rangpur,"Apartment #7, Block #G, Pirgacha, Rangpur",10590,120,10710,017-892-54308,Low
37,Rumki Faria,Female,Baroque,23,Rajshahi,"House #4, Lane #7, Motihar, Rajshahi",7560,120,7680,015-357-11854,High
38,Saima Haider,Female,Sana Safinaz,38,Dhaka,"Chalabon hazi para,house 51, Uttara dhaka 1230",10590,70,10660,018-779-13280,Low
39,Mohammad Jamir Uddin,Male,Sana Safinaz,38,Dhaka,"Flat-B7, 832,Ibrahimpur bazar road, Kafrul, Dhaka.",10590,70,10660,018-484-38651,High
40,Fazilatun Nesa Nipo,Female,Celina,22,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",5599,70,5669,017-488-40875,High
41,Tania Sultana Tumpa,Female,Khaadi,33,Comilla,"Plot #12, Brahmanpara, Comilla",5990,120,6110,015-711-34826,Low
42,Fatima Tuz Zohra,Female,Sapphire,42,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",7180,70,7250,017-172-96790,Low
43,Muhammad Sammar,Male,Faraz Manan,34,Narayanganj,"House #14, Road #7, Araihazar, Narayanganj",9000,120,9120,015-139-51006,Low
44,Tazin Rahman,Male,Maria B.,25,Dhaka,"D block, road 5, house 76,Bashundhara R/A",7500,70,7570,019-4969-3291,High
45,Meherin Hossain Usmi,Female,Celina,36,Dhaka,"Mashuda villa, 38,Kalabagan,Dhaka",5599,70,5669,015-279-94859,Low
46,Nusrat Yasmin,Female,Sana Safinaz,32,Dhaka,"Apartment #12, Block #C, Banani, Dhaka",10590,70,10660,019-481-97975,Low
47,Borsha Anam Choudhury,Female,Faraz Manan,22,Sylhet,"34/A moushumi agpara mirabazar,Sylhet",9000,120,9120,018-605-78373,High
48,Sultana Rabu,Female,Amir Adnan,37,Dhaka,"Flat #3A, Building #9, Dhanmondi, Dhaka",9550,70,9620,016-397-28070,High
49,Sanjida Akter ,Female,Sana Safinaz,36,Narsingdi,"Apartment #12, Block #O, Belabo, Narsingdi",10590,120,10710,015-444-49042,High
50,Jahid Hasan,Male,Sapphire,43,Dhaka,"6/7ka champatuli,lane swarighat,chawkbazar,Dhaka",7180,70,7250,017-144-38043,High
51,Jakia Sultana Sharna,Female,Sana Safinaz,33,Dhaka,"House 1083,Road 6/A,Avenue 8,Mirpur DOHS",10590,70,10660,015-969-61003,Low
52,Nahid Akther Tani,Female,Mushq,25,Sylhet,"Flat #4, Building #11, Lamabazar, Sylhet",6890,120,7010,015-827-35906,High
