Order ID,Customer Name,Gender,Product Details (Brand),Phone Number,Age,City,Address,Product Price (Taka),Delivery Charge(Taka),Total Bill (Taka),Phone Number,Customer Value,City Code,Product Code,Value Count,,LOOKUP TABLE   ,LOOKUPVALUE,,Product,Product Code
1,Fatima Aisha,Female,Faraz Manan,018-225-41900,19,Chittagong,"B4; Lavinia, 30 mehedibag,Chittagong",9000,120,9120,018-225-41900,High,3,9,1,,Dhaka  ,1,,Celina,1
2,Nafisa Tasneem,Female,Khaadi,019-518-69097,27,Sylhet,"Azadi111 mirboxtulla,Sylhet",5990,120,6110,019-518-69097,High,4,2,1,,Gazipur,2,,Khaadi,2
3,Parvin Sultana Popy,Female,Mushq,018-599-88102,34,Gazipur,"Ershadnogor,Tongi,Gazipur",6890,120,7010,018-599-88102,Low,2,4,0,,Chittagong,3,,Sapphire,3
4,Mimi Jahan,Female,Sana Safinaz,017-505-79104,42,Gazipur,"House #12, Road #2, Gazipur Sadar, Gazipur",10590,120,10710,017-505-79104,Low,2,6,0,,Sylhet,4,,Mushq,4
5,Suchi Islam,Female,Maria B.,013-834-21041,33,Kushtia,"Plot #6, Kumarkhali, Kushtia",7500,120,7620,013-834-21041,High,16,8,1,,Cox's Bazar,5,,Baroque,5
6,Bi Pa Sha,Female,Sana Safinaz,019-222-40689,30,Kushtia,"Flat #2, Building #9, Daulatpur, Kushtia",10590,120,10710,019-222-40689,Low,16,6,0,,Khulna,6,,Sana Safinaz,6
7,Mowmita Nipu,Female,Mushq,019-271-21906,25,Chittagong,"Masterpul boubazar, beside khaja hotel,suborna Abasik,Chittagong",6890,120,7010,019-271-21906,High,3,4,1,,Rajshahi,7,,Ethnic,7
8,Shanjida Afrin Tisha,Female,Mushq,019-462-21503,22,Chittagong,"Plot #3, GEC Circle, GEC, Chittagong",6890,120,7010,019-462-21503,Low,3,4,0,,Barisal,8,,Maria B.,8
9,Sarah Nitu,Female,Sapphire,016-111-30073,31,Rajshahi,"House #17, Road #12, Boalia, Rajshahi",7180,120,7300,016-111-30073,Low,7,3,0,,Rangpur,9,,Faraz Manan,9
10,Bonna Ferdous,Female,Faraz Manan,019-741-59097,44,Dhaka,"Road 5A, Sector 5, House 14(Shamoli housing),Uttara",9000,70,9070,019-741-59097,Low,1,9,0,,Comilla,10,,Amir Adnan,10
11,Meherun Nesa Kashpi,Female,Khaadi,018-956-75021,22,Dhaka,"Beside jamal becery, Zinzira bazar, keranigong dhaka",5990,70,6060,018-956-75021,High,1,2,1,,Narayanganj,11,,,
12,Arjumanara Sharkar,Female,Faraz Manan,013-817-46800,43,Cox's Bazar,"Khalil fakir road,peshkar parar, cox's bazar sadar",9000,120,9120,013-817-46800,Low,5,9,0,,Tangail,12,,,
13,Bonna Alam,Female,Amir Adnan,013-800-29076,40,Dinajpur,"House #2, Lane #8, Dinajpur Sadar, Dinajpur",9550,120,9670,013-800-29076,High,18,10,1,,Mymensingh,13,,,
14,Zeba Rahman,Female,Faraz Manan,017-650-83064,22,Dhaka,"19/D, Uttara Bhaban, Uttar, Tolarbag,Mirpur - 1, Dhaka -1216",9000,70,9070,017-650-83064,High,1,9,1,,Jessore,14,,,
15,Sawariya Samanna,Female,Khaadi,016-500-58084,41,Dhaka,"Azimpur chapra,Mashjid anondho bhaban A2",5990,70,6060,016-500-58084,High,1,2,1,,Narsingdi,15,,,
16,Atiya Hussain,Female,Sana Safinaz,019-861-61096,22,Dhaka,"Basundhara, B block, road 8, Bari number 70",10590,70,10660,019-861-61096,Low,1,6,0,,Kushtia ,16,,,
17,Safayet Hossain,Male,Sana Safinaz,013-973-42044,38,Dhaka,"House 13 road 3/a ,sector 15,Uttara Dhaka 1230",10590,70,10660,013-973-42044,High,1,6,1,,Bogura,17,,,
18,Faiza Afrin,Female,Mushq,018-771-20495,37,Chittagong,"House #21, Road #6, Jamal Khan, Chittagong",6890,120,7010,018-771-20495,High,3,4,1,,Dinajpur,18,,,
19,Md Walid,Male,Celina,019-743-99071,25,Chittagong,"Mirjerpool , Panchlaish,Design Foyez Manor,Flat/A7, Chittagong",5599,120,5719,019-743-99071,Low,3,1,0,,Faridpur,19,,,
20,Moumita mou,Female,Celina,018-505-80024,22,Bogura,"Apartment #6, Block #Q, Shibganj, Bogura",5599,120,5719,018-505-80024,Low,17,1,0,,Jamalpur,20,,,
21,Md Mofakkharul Islam,Male,Ethnic,017-613-67081,42,Dhaka,"House #15, Lane #4, Mirpur, Dhaka",6500,70,6570,017-613-67081,Low,1,7,0,,Noakhali,21,,,
22,Meeftahul Mou,Female,Khaadi,015-386-40103,46,Comilla,"Brac Cold Storage,New ferighat,Daudkandi,Comilla",5990,120,6110,015-386-40103,Low,10,2,0,,,,,,
23,Hamidi Mim,Female,Khaadi,016-120-76738,42,Khulna,"House-43,(Flat-6B), Road-05,1st Phase,Shonadanga R/A, Khulna",5990,120,6110,016-120-76738,Low,6,2,0,,,,,,
24,Nur Nahar,Female,Khaadi,017-425-57754,40,Dhaka,"DFL dream house-5,Road:10,Bhutta chattar,New Town,Matuail,Dhaka",5990,70,6060,017-425-57754,Low,1,2,0,,,,,,
